,link,max_salary,min_salary,site,title
138,https://www.superjob.ru/vakansii/rabochij-na-mebelnoe-proizvodstvo-32459232.html,,30000руб.,https://www.superjob.ru,Рабочий на мебельное производство
139,https://www.superjob.ru/vakansii/rabochij-na-zavod-32771317.html,,40000руб.,https://www.superjob.ru,Рабочий на завод (с обучением)
140,https://www.superjob.ru/vakansii/inzhener-po-tehnicheskoj-podderzhke-rabochih-mest-33911696.html,,,https://www.superjob.ru,Инженер по технической поддержке рабочих мест
141,https://www.superjob.ru/vakansii/rabochij-v-ceh-33879231.html,,41600руб.,https://www.superjob.ru,Рабочий в цех
142,https://www.superjob.ru/vakansii/podsobnyj-rabochij-33772304.html,,50000руб.,https://www.superjob.ru,Подсобный рабочий
143,https://spb.hh.ru/vacancy/37275206?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,40000руб.,22000руб.,https://hh.ru,Начинающий специалист офиса продаж
144,https://spb.hh.ru/vacancy/37223957?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,48000руб.,39000руб.,https://hh.ru,Специалист офиса продаж и обслуживания
145,https://spb.hh.ru/vacancy/37052540?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,,https://hh.ru,Менеджер по привлечению предпринимателей
146,https://spb.hh.ru/vacancy/36918414?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,200000KZT,https://hh.ru,Менеджер по розничным продажам электроники
147,https://spb.hh.ru/vacancy/36814616?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,1200бел.руб.,850бел.руб.,https://hh.ru,Повар-сушист
148,https://spb.hh.ru/vacancy/37412615?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,150000руб.,,https://hh.ru,Менеджер по оптовым продажам
149,https://spb.hh.ru/vacancy/36725880?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,,https://hh.ru,Продавец-кассир (временная работа)
150,https://spb.hh.ru/vacancy/36725903?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,,https://hh.ru,Продавец-кассир (временная работа)
151,https://spb.hh.ru/vacancy/36877105?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,90000руб.,70000руб.,https://hh.ru,Водитель
152,https://spb.hh.ru/vacancy/37411445?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,1500бел.руб.,https://hh.ru,Специалист по коммуникации с Клиентами (продажа автомобилей)
153,https://spb.hh.ru/vacancy/37408416?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,85000руб.,https://hh.ru,Ведущий Архитектор-проектировщик / Главный специалист
154,https://spb.hh.ru/vacancy/36750751?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,1000бел.руб.,750бел.руб.,https://hh.ru,Кассир
155,https://spb.hh.ru/vacancy/37342832?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,150000руб.,50000руб.,https://hh.ru,Менеджер по продажам
156,https://spb.hh.ru/vacancy/37406786?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,,https://hh.ru,Менеджер по продажам строительных материалов
157,https://spb.hh.ru/vacancy/37401028?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,35000руб.,https://hh.ru,Кладовщик
158,https://spb.hh.ru/vacancy/37352310?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,750бел.руб.,,https://hh.ru,Рабочий по комплексному обслуживанию зданий
